school_name,link,address,category,rating,last_report_date,urn,is_religious
Chaffinch Brook School,/provider/25/148768,"32 Morland Road, Croydon, CR0 6NA",Special School,Good,13 June 2024,148768.0,False
Elm Court School,/provider/25/100659,"Elm Park, London, SW2 2EF",Special School,Outstanding,05 April 2019,100659.0,False
Jubilee Primary School,/provider/21/133662,"Tulse Hill, London, SW2 2JE",Primary,Good,11 July 2023,133662.0,False
Holy Trinity Church of England Primary School,/provider/21/100622,"Upper Tulse Hill, Lambeth, London, SW2 2RL",Primary,Requires Improvement,29 September 2023,100622.0,True
"Christ Church, Streatham Church of England Primary School",/provider/21/145614,"Cotherstone Road, Streatham, London, SW2 3NF",Primary,,10 May 2022,145614.0,True
Richard Atkins Primary School,/provider/21/100578,"New Park Road, London, SW2 4JP",Primary,Good,21 September 2022,100578.0,False
Corpus Christi Catholic Primary School,/provider/21/137295,"Trent Road, Lambeth, Corpus Christi Primary School, London, SW2 5BL",Primary,Outstanding,14 June 2024,137295.0,True
Sudbourne Primary School,/provider/21/100584,"Mandrell Road, Brixton, London, SW2 5EF",Primary,Good,29 November 2023,100584.0,False
St Bede's Catholic Infant School,/provider/21/100631,"Thornton Road, Clapham Park, London, SW12 0LF",Primary,Good,12 May 2023,100631.0,True
The White House Preparatory School & Woodentops Kindergarten,/provider/27/100651,"24 Thornton Road, London, SW12 0LF",Independent School,Good,29 April 2011,100651.0,False
Iqra Primary School,/provider/21/135614,"127 Park Hill, Off Clarence Avenue, Clapham, London, SW4 9PA",Primary,Outstanding,12 July 2024,135614.0,True
Glenbrook Primary School,/provider/21/100601,"Clarence Crescent, Clapham Park, London, SW4 8LD",Primary,Good,23 June 2021,100601.0,False
Kings Avenue School,/provider/21/133315,"Kings Avenue, London, SW4 8BQ",Primary,Good,18 May 2022,133315.0,False
Telferscot Primary School,/provider/21/100586,"Telferscot Road, Balham, London, SW12 0HW",Primary,Outstanding,12 December 2014,100586.0,False
International British Online School,/provider/100003/150164,"156 Clapham Park Road, London, SW4 7DE",Online education provider,,03 May 2024,150164.0,False
St Mary's Roman Catholic Primary School,/provider/21/100636,"Crescent Lane, Clapham, London, SW4 9QJ",Primary,Outstanding,12 December 2014,100636.0,True
Bonneville Primary School,/provider/21/131247,"Bonneville Gardens, Clapham, London, SW4 9LB",Primary,Outstanding,26 June 2024,131247.0,False
Clapham Manor Primary School,/provider/21/100560,"Belmont Road, Clapham, London, SW4 0BZ",Primary,Good,16 November 2022,100560.0,False
Henry Cavendish Primary School,/provider/21/100567,"Hydethorpe Road, London, SW12 0JA",Primary,Outstanding,03 July 2024,100567.0,False
St Bernadette Catholic Junior School,/provider/21/100628,"1 - 4 Atkins Road, Clapham Park, London, SW12 0AB",Primary,Good,03 July 2023,100628.0,True
Al-Khair Secondary Girls,/provider/27/147027,"109-117 Cherry Orchard, CR0 6BE",Independent School,Good,10 July 2024,147027.0,False
Al-Khair School,/provider/27/134585,"109-117 Cherry Orchard Road, Croydon, Surrey, CR0 6BE",Independent School,Good,16 November 2023,134585.0,False
St. Mary's Catholic Junior School,/provider/21/142226,"Sydenham Road, Croydon, Surrey, CR0 2EW",Primary,Good,17 October 2023,142226.0,True
Ark Oval Primary Academy,/provider/21/137114,"98 Cherry Orchard Road, Croydon, Surrey, CR0 6BA",Primary,Good,13 May 2020,137114.0,False
St Mary's Catholic Infant School,/provider/21/142246,"Bedford Park, Croydon, Surrey, CR0 2AQ",Primary,Good,28 November 2022,142246.0,True
Chestnut Park Primary School,/provider/21/140434,"49 St James Road, Croydon, Surrey, CR0 2UR",Primary,Outstanding,23 July 2018,140434.0,False
St John's CofE Primary School,/provider/21/101788,"Spring Park Road, Shirley, Croydon, Surrey, CR0 5EL",Primary,Outstanding,15 November 2021,101788.0,True
Al-Khair School Preparatory School,/provider/27/147184,"36 Pitlake, Croydon, CR0 3RA",Independent School,Good,13 May 2020,147184.0,False
Park Hill Infant School,/provider/21/101779,"Stanhope Road, Croydon, Surrey, CR0 5NS",Primary,Outstanding,15 December 2023,101779.0,False
Park Hill Junior School,/provider/21/144382,"Stanhope Road, Croydon, Surrey, CR0 5NS",Primary,Outstanding,29 June 2023,144382.0,False
Harris Primary Academy Benson,/provider/21/139905,"West Way, Shirley, Croydon, Surrey, CR0 8RQ",Primary,Outstanding,21 July 2023,139905.0,False
Harris Primary Academy Croydon,/provider/21/148352,"Thomson Crescent, Croydon, Surrey, CR0 3JT",Primary,Outstanding,09 November 2023,148352.0,False
Bright Minds Creative Academy,/provider/27/149443,"106-108 Park Lane, Croydon, CR0 1JB",Independent School,,31 March 2023,149443.0,False
Aspire Learning,/provider/27/149444,"Coombe Cliff, Coombe Road, Croydon, CR0 5SP",Independent School,Good,27 June 2024,149444.0,False
West Thornton Primary School,/provider/21/147971,"Rosecourt Road, Croydon, CR0 3BS",Primary,,,,False
Saffron Valley Collegiate,/provider/22/149606,"279 High Street, Croydon, Surrey, CR0 1QH",Pupil Referral Unit,,08 May 2024,149606.0,False
Beckmead Park Academy,/provider/25/145591,"Monks Orchard Road, Beckenham, Kent, BR3 3BZ",Special School,,07 July 2023,145591.0,False
Oak Lodge Primary School,/provider/21/142298,"Chamberlain Crescent, West Wickham, Kent, BR4 0LJ",Primary,Good,11 July 2019,142298.0,False
Krishna Avanti Primary School,/provider/21/142861,"Southbridge Place, Croydon, CR0 4HA",Primary,Good,12 June 2019,142861.0,True
The Minster Junior School,/provider/21/149113,"Warrington Road, Croydon, Surrey, CR0 4BH",Primary,,,,True
Heathfield Academy,/provider/21/140435,"7 Aberdeen Road, Croydon, Surrey, CR0 1EQ",Primary,Outstanding,04 July 2018,140435.0,False
The Write Time,/provider/27/142621,"Warrington Road, Opposite Ludford Close, Croydon, London, CR0 4BH",Independent School,Good,20 October 2023,142621.0,False
The Minster Nursery and Infants Church of England Academy,/provider/21/149114,"Warrington Road, Croydon, Surrey, CR0 4BH",Primary,,08 September 2022,149114.0,True
Rutherford School,/provider/27/101843,"1a Melville Avenue, South Croydon, Surrey, CR2 7HZ",Independent School,Good,06 December 2022,101843.0,False
Penwortham Primary School,/provider/21/101016,"Penwortham Road, Streatham, London, SW16 6RJ",Primary,Good,26 May 2023,101016.0,False
Furzedown Primary School,/provider/21/101009,"Beclands Road, Tooting, London, SW17 9TJ",Primary,Good,30 September 2022,101009.0,False
Harris Primary Academy Merton,/provider/21/141143,"Abbotts Road, Mitcham, Surrey, CR4 1JW",Primary,Outstanding,25 April 2024,141143.0,False
Beecholme Primary School,/provider/21/143133,"Edgehill Road, Mitcham, Surrey, CR4 2HZ",Primary,Good,19 September 2019,143133.0,False
Ravenstone Primary School,/provider/21/147327,"Ravenstone Street, Balham, London, SW12 9SS",Primary,Good,18 October 2023,147327.0,False
St Anselm's Catholic Primary School,/provider/21/101052,"Louisville Road, London, SW17 8RW",Primary,Outstanding,10 November 2023,101052.0,True
Links Primary School,/provider/21/102635,"Frinton Road, London, SW17 9EH",Primary,Good,16 November 2021,102635.0,False
Lonesome Primary School,/provider/21/102636,"Grove Road, Mitcham, Surrey, CR4 1SD",Primary,Good,30 July 2019,102636.0,False
Goresbrook School,/provider/28/140962,"Cook Road, Dagenham, Essex, RM9 6XW",Other schools,Good,10 July 2019,140962,True
Hopewell School,/provider/27/134388,"Harmony House, Baden Powell Close, Dagenham, Essex, Essex, RM9 6XN",Independent School,Requires Improvement,27 September 2023,134388,False
Christ Church CofE Primary School,/provider/21/100489,"1 Robinson Street, London, SW3 4AA",Primary,Outstanding,03 July 2013,100489.0,True
Oratory Roman Catholic Primary School,/provider/21/100491,"Bury Walk, Cale Street, Chelsea, London, SW3 6QH",Primary,Outstanding,12 October 2023,100491.0,True
Lycee Francais Charles de Gaulle,/provider/27/100547,"35 Cromwell Road, London, Sw7 2Dg, London, SW7 2DG",Independent School,Inadequate,18 October 2023,100547.0,False
Chesterton Primary School,/provider/21/145280,"Dagnall Street, Battersea, London, SW11 5DT",Primary,Outstanding,07 February 2023,145280.0,False
Our Lady of Victories RC Primary School,/provider/21/100504,"Clareville Street, Kensington and Chelsea, Our Lady of Victories Primary School, London, SW7 5AQ",Primary,Good,01 February 2024,100504.0,True
Park Walk Primary School,/provider/21/100486,"Park Walk, King's Road, Chelsea, London, SW10 0AY",Primary,Good,14 January 2022,100486.0,False
Heathbrook Primary School,/provider/21/100566,"St Rule Street, London, SW8 3EH",Primary,Good,24 February 2020,100566.0,False
St Philip's School,/provider/27/100516,"6 Wetherby Place, London, SW7 4NE",Independent School,Good,13 May 2022,100516.0,True
Westbridge Academy,/provider/21/140682,"Bolingbroke Walk, Westbridge Road, London, SW11 3NE",Primary,Good,27 January 2023,140682.0,False
Ashburnham Community School,/provider/21/100477,"17 Blantyre Street, London, SW10 0DT",Primary,Outstanding,27 April 2015,100477.0,False
John Burns Primary School,/provider/21/101014,"Wycliffe Road, Lavender Hill, London, SW11 5QR",Primary,Good,29 September 2023,101014.0,False
Chelsea  Community Hospital  School,/provider/25/100549,"369 Fulham Road, London, SW10 9NH",Special School,Outstanding,08 December 2023,100549.0,False
Shaftesbury Park Primary School,/provider/21/101020,"Ashbury Road, Battersea, London, SW11 5UW",Primary,Good,06 November 2023,101020.0,False
Servite RC Primary School,/provider/21/100500,"252 Fulham Road, London, SW10 9NA",Primary,Outstanding,01 February 2022,100500.0,True
Wetherby Kensington,/provider/27/144516,"4 Wetherby Gardens, London, SW5 0JN",Independent School,Good,06 July 2018,144516.0,False
Bousfield Primary School,/provider/21/100480,"South Bolton Gardens, London, SW5 0DJ",Primary,Good,25 November 2022,100480.0,False
L'Ecole de Battersea,/provider/27/135277,"Trott Street, Battersea, London, SW11 3DS",Independent School,Outstanding,15 February 2023,135277.0,False
Thomas's Kensington,/provider/27/100534,"17-19 Cottesmore Gardens, London, W8 5PR",Independent School,Outstanding,16 March 2020,100534.0,False
Thomas's Battersea,/provider/27/100530,"28-40 Battersea High Street, London, SW11 3JB",Independent School,Outstanding,20 March 2018,100530.0,False
"Sacred Heart Catholic Primary School, Battersea",/provider/21/131520,"Este Road, London, SW11 2TD",Primary,Good,27 September 2023,131520.0,True
Alderbrook Primary School,/provider/21/100995,"Oldridge Road, Balham, London, SW12 8PP",Primary,Good,14 March 2024,100995,False
Macaulay Church of England Primary School,/provider/21/100612,"Victoria Rise, Clapham, SW4 0NU",Primary,Good,02 February 2024,100612,True
Holy Ghost Catholic Primary School,/provider/21/101036,"Nightingale Square, Balham, London, SW12 8QJ",Primary,Outstanding,18 November 2013,101036,True
Trinity St Mary's CofE Primary School,/provider/21/101047,"6 Balham Park Road, London, SW12 8DR",Primary,Good,20 March 2024,101047,True
Eveline Day School,/provider/27/101080,"Swan House, 207 Balham High Road, Balham, London, SW17 7BQ",Independent School,Good,16 November 2017,101080,False
Oak Lodge School,/provider/10/SC042132,"101 Nightingale Lane, LONDON, SW12 8NA",Residential Special School,,20 March 2024,SC042132,False
Oak Lodge School,/provider/25/101094,"101 Nightingale Lane, Balham, London, SW12 8NA",Special School,Good,30 June 2020,101094,False
Rutherford House School,/provider/21/139775,"217 Balham High Road, Balham, Wandsworth, London, SW17 7BS",Primary,Good,28 September 2022,139775,False
Parkgate House School,/provider/27/101091,"80 Clapham Common, Clapham Common, Northside, London, SW4 9SD",Independent School,Outstanding,29 April 2022,101091,False
Belleville Wix Academy,/provider/21/144621,"Wix's Lane, Clapham Common North Side, London, SW4 0AJ",Primary,Good,03 December 2019,144621,False
Thomas's Clapham,/provider/27/130398,"Broomwood Road, Wandsworth, London, SW11 6JZ",Independent School,Outstanding,27 February 2018,130398,False
Honeywell Junior School,/provider/21/101011,"Honeywell Road, Battersea, London, SW11 6EF",Primary,Good,30 September 2022,101011,False
Honeywell Infant School,/provider/21/101012,"Honeywell Road, Battersea, London, SW11 6EF",Primary,Good,06 March 2023,101012,False
Belleville Primary School,/provider/21/137563,"Belleville Road, Battersea, London, SW11 6PR",Primary,Outstanding,03 May 2022,137563,False
Dolphin School (Incorporating Noahs Ark Nursery Schools),/provider/27/101084,"106 Northcote Road, Battersea, London, SW11 6QW",Independent School,Good,01 April 2011,101084,True
Fircroft Primary School,/provider/21/101007,"Fircroft Road, Tooting Bec, London, SW17 7PP",Primary,Requires Improvement,30 September 2022,101007,False
Hillbrook School,/provider/21/101057,"Hillbrook Road, Tooting, London, SW17 8SG",Primary,Good,18 July 2024,101057,False
St Cuthbert with St Matthias CofE Primary School,/provider/21/100498,"Warwick Road, Earls Court, London, SW5 9UE",Primary,Good,14 January 2022,100498,True
First Bridge School,/provider/27/149762,"Unit 17, Block J1 Station Court, Imperial Wharf, 1 Townmead Road, London, SW6 2PY",Independent School,Good,31 May 2024,149762,False
St Mary Abbots CofE Primary School,/provider/21/100497,"2 Kensington Church Court, Kensington, London, W8 4SP",Primary,Good,20 March 2024,100497,True
St Barnabas and St Philip's CofE Primary School,/provider/21/100493,"58 Earls Court Road, Kensington, London, W8 6EJ",Primary,Good,12 June 2024,100493,True
Fulham Primary School,/provider/21/143213,"Halford Road, London, SW6 1JU",Primary,Outstanding,20 May 2024,143213,False
Falconbrook Primary School,/provider/21/101006,"Wye Street, Battersea, London, SW11 2LX",Primary,Good,12 May 2020,101006,False
Christ Church CofE Primary School,/provider/21/101035,"Batten Street, Battersea, London, SW11 2TH",Primary,Requires Improvement,13 March 2024,101035,True
Langford Primary School,/provider/21/141685,"Gilstead Road, Fulham, London, SW6 2LG",Primary,Outstanding,18 January 2019,141685,False
Normand Croft Community School for Early Years and Primary Education,/provider/21/134273,"Bramber Road, London, W14 9PA",Primary,Good,10 May 2019,134273,False
Thames Christian School,/provider/27/132237,"12 Grant Road, London, SW11 2FR",Independent School,Good,20 May 2010,132237,True
Holy Cross RC School,/provider/21/100345,"Basuto Road, London, SW6 4BL",Primary,Good,10 July 2019,100345,True
Kensington Primary Academy,/provider/21/140213,"205 Warwick Road, (On the Corner of Kensington High Street), London, W14 8PU",Primary,Outstanding,03 December 2018,140213,False
Fox Primary School,/provider/21/100482,"Fox Primary School, Kensington Place, London, W8 7PP",Primary,Outstanding,27 November 2023,100482,False
Evergreen Primary School,/provider/27/100372,"9 Swan Mews, Parsons Green, SW6 4QT",Independent School,Good,20 January 2023,100372,False
St Thomas of Canterbury Catholic Primary School,/provider/21/100357,"Estcourt Road, Fulham, London, SW6 7HB",Primary,Good,27 September 2023,100357,True
Avonmore Primary School,/provider/21/100322,"Avonmore Road, London, W14 8SH",Primary,Outstanding,21 July 2023,100322,False
Southbank International School Kensington,/provider/27/100542,"36-38 Kensington Park Road, London, W11 3BU",Independent School,,22 March 2016,100542,False
ARK John Archer Primary Academy,/provider/21/146214,"Plough Road, Battersea, London, SW11 2AA",Primary,Good,07 March 2023,146214,False
Sulivan Primary School,/provider/21/143214,"Peterborough Road, Fulham, London, SW6 3BN",Primary,,04 March 2019,143214,False
St Augustine's RC Primary School,/provider/21/150082,"Disbrowe Road, London, W6 8QE",Primary,,06 April 2024,150082,True
Sir John Lillie Primary School,/provider/21/100338,"Lillie Road, Lillie Road, Fulham, SW6 7LN",Primary,Good,04 December 2019,100338,False
The Fulham Prep School Ltd,/provider/27/131165,"200 Greyhound Road, London, London, W14 9SD",Independent School,Good,17 June 2022,131165,False
Thomas's Fulham,/provider/27/130239,"Hugon Road, Fulham, London, SW6 3ES",Independent School,Outstanding,30 April 2018,130239,False
Centre Academy London,/provider/27/101175,"92 St John's Hill, Battersea, London, SW11 1SH",Independent School,Inadequate,15 November 2023,101175,False
Park House School,/provider/27/134145,"48 North Side, Wandsworth Common, London, London, SW18 2SL",Independent School,Outstanding,11 July 2023,134145,False
Nightingale Community Academy,/provider/25/143175,"Beechcroft Road, Tooting, London, SW17 7DF",Special School,Good,19 October 2022,143175,False
Wandsworth Preparatory School,/provider/27/138406,"The Old Library, 2 Allfarthing Lane, London, SW18 2PQ",Independent School,Outstanding,10 July 2013,138406,False
Parayhouse School,/provider/25/135175,"Hammersmith and Fulham College, Gliddon Road, Fulham, London, W14 9BL",Special School,Good,25 April 2024,135175,False
St Mary's Catholic Primary School,/provider/21/100350,"Masbro Road, London, W14 0LT",Primary,Good,10 June 2024,100350,True
Larmenier & Sacred Heart Catholic Primary School,/provider/21/134009,"41a Brook Green, Hammersmith, London, W6 7BL",Primary,Outstanding,24 November 2020,134009,True
Ecole Française de Londres Jacques Prévert,/provider/27/100371,"59 Brook Green, London, W6 7BE",Independent School,Outstanding,21 September 2022,100371,False
St John's Walham Green Church of England Primary School,/provider/21/100349,"Filmer Road, Fulham, London, SW6 6AS",Primary,Outstanding,26 June 2024,100349,True
Addison Primary School,/provider/21/100321,"Addison Gardens, Blythe Road, London, W14 0DT",Primary,Good,16 March 2020,100321,False
SIAL,/provider/27/136747,"154-156 Holland Park Avenue, London, W11 4UH",Independent School,Good,26 May 2023,136747,False
Melcombe Primary School,/provider/21/100334,"Fulham Palace Road, London, W6 9ER",Primary,Good,27 April 2023,100334,False
Kensington Wade,/provider/27/144965,"FULHAM PALACE ROAD, LONDON, W6 9ER",Independent School,Good,29 September 2022,144965,False
St Clement and St James CofE Primary School,/provider/21/100495,"Penzance Place, London, W11 4PG",Primary,Good,17 July 2023,100495,True
Flora Gardens Primary School,/provider/21/100328,"34 Lena Gardens, London, W6 7PZ",Primary,Good,02 August 2022,100328,False
Thomas's Academy,/provider/21/142256,"New King's Road, Fulham, London, SW6 4LY",Primary,,24 November 2023,142256,False
The Stewart Bilingual School,/provider/27/138599,"85 Clarendon Road, London, W11 4XQ",Independent School,Requires Improvement,01 April 2019,138599,False
St Paul's CofE Primary School,/provider/21/100351,"Worlidge Street, London, W6 9BP",Primary,Outstanding,20 May 2015,100351,True
Queen's Manor School and Special Needs Unit,/provider/21/143212,"Lysia Street, London, SW6 6ND",Primary,,08 July 2024,143212,False
Parsons Green Prep School,/provider/27/134010,"1 Fulham Park Road, London, SW6 4LJ",Independent School,Good,15 December 2009,134010,False
Avondale Park Primary School,/provider/21/100487,"Sirdar Road, London, W11 4EE",Primary,Good,21 July 2023,100487,False
Colville Primary School,/provider/21/100481,"Lonsdale Road, Portobello Road, London, W11 2DF",Primary,Outstanding,10 June 2024,100481,False
London Vocational Ballet School,/provider/27/135729,"58 Bulwer Street, London, W12 8AP",Independent School,Good,24 June 2024,135729,False
All Saints CofE Primary School,/provider/21/100344,"Bishops Avenue, Fulham, London, SW6 6ED",Primary,Good,05 December 2019,100344,True
West London Free School Primary,/provider/21/139546,"Cambridge Grove, London, W6 0LB",Primary,Outstanding,18 June 2015,139546,False
Earl's Court Free School Primary,/provider/21/140811,"Cambridge Grove, London, W6 0LB",Primary,Outstanding,29 February 2024,140811,False
Ormiston Bridge Academy,/provider/22/139509,"Finlay Street, London, SW6 6HB",Pupil Referral Unit,Good,15 November 2021,139509,False
Saint Francis of Assisi Catholic Primary School,/provider/21/100494,"Treadgold Street, Notting Hill, London, W11 4BJ",Primary,Good,27 September 2023,100494,True
Thomas Jones Primary School,/provider/21/100488,"St Mark's Road, London, W11 1RQ",Primary,Outstanding,04 December 2023,100488,False
Westside School,/provider/22/140201,"8-30 Galena Road, London, W6 0LT",Pupil Referral Unit,Outstanding,20 November 2019,140201,False
St Stephen's CofE Primary School,/provider/21/100353,"Uxbridge Road, London, W12 8LH",Primary,Outstanding,12 December 2023,100353,True
Brackenbury Primary School,/provider/21/100324,"Dalling Road, Hammersmith, London, W6 0BA",Primary,Good,07 February 2023,100324,False
Azbuka Russian-English Bilingual School,/provider/27/143048,"Studland Hall, Studland Street, W6 0JS",Independent School,Good,28 March 2019,143048,False
Miles Coverdale Primary School,/provider/21/100326,"Coverdale Road, Shepherds Bush, London, W12 8JJ",Primary,Outstanding,04 June 2024,100326,False
Ormiston Latimer Academy,/provider/22/140807,"194 Freston Road, Latimer Road Station, London, W10 6TT",Pupil Referral Unit,Good,19 January 2022,140807,False
The Swedish School Society,/provider/1/SC017403,"The Swedish School Society, 82 Lonsdale Road, London, SW13 9JS",Boarding School,,04 May 2024,SC017403,False
The Swedish School,/provider/27/102948,"82 Lonsdale Road, London, SW13 9JS",Independent School,Outstanding,11 July 2023,102948,False
John Betts Primary School,/provider/21/100346,"Paddenswick Road, London, W6 0UA",Primary,Good,14 January 2022,100346,False
Greenside Primary School,/provider/21/141902,"Westville Road, Hammersmith, London, W12 9PT",Primary,,17 November 2023,141902,False
St Peter's Primary School,/provider/21/100352,"33 St Peter's Road, Hammersmith, London, W6 9BA",Primary,Outstanding,27 April 2023,100352,True
Hurlingham School,/provider/27/101067,"122 Putney Bridge Road, London, SW15 2NQ",Independent School,Good,26 November 2007,101067,False
Brandlehow Primary School,/provider/21/101001,"Brandlehow Road, Putney, London, SW15 2ED",Primary,Good,22 November 2023,101001,False
St Mary's CofE Primary School,/provider/21/101046,"Felsham Road, Putney, St. Mary's Ce Primary School, London, SW15 1BA",Primary,Good,03 February 2022,101046,True
Hotham Primary School,/provider/21/101013,"Charlwood Road, Putney, London, SW15 1PN",Primary,Good,18 November 2019,101013,False
St Joseph's Catholic Primary and Nursery School,/provider/21/101045,"90 Oakhill Road, London, SW15 2QD",Primary,Good,06 June 2019,101045,True
Oasis Academy Putney,/provider/21/140222,"184 Lower Richmond Road, London, SW15 1LY",Primary,Good,24 June 2019,140222,False
The Roche School,/provider/27/101075,"11 Frogmore, Wandsworth, London, SW18 1HW",Independent School,Good,04 May 2018,101075,False
Our Lady of Victories Catholic Primary School,/provider/21/101037,"1 Clarendon Drive, London, SW15 1AW",Primary,Good,11 May 2022,101037,True
"All Saints' CofE Primary School, Putney",/provider/21/101034,"Putney Common, Putney, London, SW15 1HL",Primary,Good,07 December 2022,101034,True
St Faith's CofE Primary School,/provider/21/101043,"Alma Road, East Hill, London, SW18 1AE",Primary,Good,04 April 2019,101043,True
West Hill Primary School,/provider/21/101024,"5 Merton Road, London, SW18 5ST",Primary,Good,30 April 2024,101024,False
Merlin School,/provider/27/101065,"4 Carlton Drive, Putney, London, SW15 2BZ",Independent School,Good,07 December 2021,101065,False
Anglo Portuguese School of London,/provider/21/143739,"25 Courthouse Way, London, SW18 4QG",Primary,Good,15 June 2023,143739,False
St Anne's CofE Primary School,/provider/21/101041,"208 St Ann's Hill, Wandsworth, London, SW18 2RU",Primary,Good,27 April 2023,101041,True
Allfarthing Primary School,/provider/21/100996,"St Ann's Crescent, Wandsworth, London, SW18 2LR",Primary,Good,27 November 2023,100996,False
Lowther Primary School,/provider/21/102892,"Stillingfleet Road, Barnes, London, SW13 9AE",Primary,Good,06 March 2023,102892,False
St Michael's CofE Primary School,/provider/21/101049,"Granville Road, Southfields, London, SW18 5SQ",Primary,Good,21 September 2022,101049,True
Swaffield School,/provider/21/101022,"St Ann's Hill, Wandsworth, London, SW18 2SA",Primary,Good,25 February 2020,101022,False
St Osmund's Catholic Primary School,/provider/21/102919,"Church Road, Barnes, London, SW13 9HQ",Primary,Good,21 January 2021,102919,True
Granard Primary School,/provider/21/101028,"Cortis Road, Putney, London, SW15 6XA",Primary,Good,07 July 2023,101028,False
The Harrodian School,/provider/27/102950,"Lonsdale Road, London, SW13 9QN",Independent School,Good,16 January 2024,102950,False
Ronald Ross Primary School,/provider/21/101031,"145 Beaumont Road, SW19 6RY",Primary,Outstanding,24 June 2024,101031,False
Greenmead School,/provider/25/101099,"147 Beaumont Road, Southfields, London, SW19 6RY",Special School,Outstanding,14 December 2021,101099,False
Sheringdale Primary School,/provider/21/101026,"Standen Road, Southfields, Wandsworth, London, SW18 5TR",Primary,Outstanding,03 March 2014,101026,False
Riversdale Primary School,/provider/21/101018,"302a Merton Road, Wandsworth, London, SW18 5JP",Primary,Requires Improvement,06 November 2023,101018,False
Our Lady Queen of Heaven RC School,/provider/21/101051,"Victoria Drive, Southfields, London, SW19 6AD",Primary,Outstanding,29 January 2024,101051,True
Floreat Wandsworth Primary School,/provider/21/140423,"305 Garratt Lane, London, SW18 4EQ",Primary,Good,17 October 2023,140423,False
Barnes Primary School,/provider/21/102902,"Cross Street, Barnes, London, SW13 0QQ",Primary,Outstanding,16 January 2023,102902,False
"Sacred Heart Catholic Primary School, Roehampton",/provider/21/101050,"Roehampton Lane, Roehampton, London, SW15 5NX",Primary,Good,11 July 2023,101050,True
Beatrix Potter Primary School,/provider/21/100997,"Magdalen Road, Earlsfield, London, SW18 3ER",Primary,Good,15 July 2024,100997,False
Al Risalah Secondary School,/provider/27/101090,"145 Upper Tooting Road, London, SW17 7TJ",Independent School,Good,16 May 2022,101090,False
Al Risalah Boys' School,/provider/27/146729,"145 Upper Tooting Road, London, SW17 7TJ",Independent School,Good,26 September 2023,146729,False
Gatton (VA) Primary School,/provider/21/134041,"13e Broadwater Rd, Tooting, London, SW17 0DS",Primary,Outstanding,20 March 2014,134041,True
Franciscan Primary School,/provider/21/146191,"221 Franciscan Road, Tooting, London, SW17 8HQ",Primary,Good,25 April 2024,146191,False
Wandsworth Hospital and Home Tuition Service,/provider/22/108892,"Elizabeth Newton Building, Springfield University Hospital, Elizabeth Newton Way, London, SW17 0YG",Pupil Referral Unit,Outstanding,28 November 2023,108892,False
Francis Barber Pupil Referral Unit,/provider/22/100994,"287 Franciscan Road, Tooting, London, SW17 8HE",Pupil Referral Unit,Good,23 May 2023,100994,False
Tooting Primary School,/provider/21/139592,"Franciscan Road, Tooting, London, SW17 8HE",Primary,Outstanding,07 September 2015,139592,False
St Boniface RC Primary School,/provider/21/101042,"Undine Street, Tooting, London, SW17 8PP",Primary,Good,20 January 2022,101042,True
Smallwood Primary School and Language Unit,/provider/21/101021,"Smallwood Road, Tooting, London, SW17 0TW",Primary,Good,09 May 2022,101021,False
Earlsfield Primary School,/provider/21/101005,"Tranmere Road, London, SW18 3QQ",Primary,Outstanding,27 April 2023,101005,False
Chelsea Hall School,/provider/27/131662,"St Andrew's Church Hall, Waynflete Street, Earlsfield, London, SW18 3QG",Independent School,Outstanding,20 March 2019,131662,False
Garratt Park School,/provider/25/101103,"Waldron Road, Earlsfield, Wandsworth, London, SW18 3TB",Special School,Good,13 May 2024,101103,False
Sellincourt Primary School,/provider/21/101019,"Sellincourt Road, Tooting, London, SW17 9SA",Primary,Good,27 April 2023,101019,False
Tram House School,/provider/27/145164,"Tram House School 520 Garratt Lane, London, SW17 0NY",Independent School,Good,14 July 2022,145164,False
Wimbledon Park Primary School,/provider/21/102648,"Havana Road, London, SW19 8EJ",Primary,Outstanding,11 November 2022,102648,False
Cavendish Primary School,/provider/21/102472,"Edensor Road, Chiswick, Cavendish Primary School, London, W4 2RG",Primary,Good,13 January 2023,102472,False
The William Hogarth Primary School,/provider/21/133486,"Duke Road, Chiswick, London, W4 2JR",Primary,Good,27 September 2023,133486,False
Paddock School,/provider/25/101102,"Priory Lane, London, SW15 5RT",Special School,Outstanding,17 January 2022,101102,False
"St Mary's Catholic Primary School ,Chiswick",/provider/21/102529,"Duke Road, Chiswick, London, W4 2DF",Primary,Good,03 October 2023,102529,True
East Sheen Primary School,/provider/21/102885,"Upper Richmond Road West, East Sheen, London, SW14 8ED",Primary,Outstanding,15 June 2023,102885,False
St Mary Magdalen's Catholic Primary School,/provider/21/102909,"Worple Street, London, SW14 8HE",Primary,Good,27 June 2024,102909,True
Roehampton Gate School,/provider/27/136110,"Priory Lane, Roehampton, London, SW15 5JJ",Independent School,Good,27 September 2023,136110,False
Roehampton Hospital School,/provider/27/147547,"The Priory Hospital Roehampton, Priory Lane, London, SW15 5JJ",Independent School,Outstanding,16 September 2021,147547,False
Thomson House School,/provider/21/139549,"27 Sheen Lane, London, SW14 8HY",Primary,Outstanding,08 September 2015,139549,False
Grove Park Primary School,/provider/21/102485,"Nightingale Close, Chiswick, London, W4 3JN",Primary,Outstanding,02 April 2014,102485,False
