school_name,link,address,category,rating,last_report_date,urn,is_religious
Brookland Infant and Nursery School,/provider/21/101263,"Hill Top, Hampstead Garden Suburb, Hill Top, Hampstead Garden Suburb, NW11 6EJ",Primary,Good,27 June 2024,101263.0,False
St Theresa's Catholic Primary School,/provider/21/101335,"East End Road, Finchley, London, N3 2TD",Primary,Good,03 April 2019,101335.0,True
St James Church of England Primary School,/provider/21/102136,"Woodside Avenue, Muswell Hill, London, N10 3JA",Primary,Good,18 May 2022,102136.0,True
TreeHouse School,/provider/25/135534,"Woodside Avenue, Muswell Hill, London, N10 3JA",Special School,Outstanding,18 May 2023,135534.0,False
Highgate Primary School,/provider/21/102092,"North Hill, Highgate, London, N6 4ED",Primary,Outstanding,28 June 2024,102092.0,False
Akiva School,/provider/21/135086,"80 East End Road, London, N3 2SY",Primary,Good,02 October 2023,135086.0,True
Coppetts Wood Primary School,/provider/21/101270,"Coppetts Road, Friern Barnet, London, N10 1JS",Primary,Requires Improvement,19 July 2023,101270.0,False
Our Lady of Lourdes RC School,/provider/21/101331,"Bow Lane, Finchley, London, N12 0JP",Primary,Good,22 June 2023,101331.0,True
Unique Children's School,/provider/27/145295,"1a Dukes Avenue, N10 2PS",Independent School,Good,08 May 2024,145295.0,False
Muswell Hill Primary School,/provider/21/131871,"Muswell Hill, London, N10 3ST",Primary,Good,09 February 2022,131871.0,False
Summerside Primary Academy,/provider/21/144653,"Crossway, Finchley, London, N12 0QU",Primary,Good,08 January 2020,144653.0,False
Garden Suburb Infant School,/provider/21/101282,"Childs Way, Hampstead Garden Suburb, London, NW11 6XU",Primary,Good,26 September 2023,101282.0,False
Garden Suburb Junior School,/provider/21/101281,"Childs Way, Garden Suburb Junior School, Childs Way, London, NW11 6XU",Primary,Good,08 July 2022,101281.0,False
Hollickwood Primary School,/provider/21/101285,"Sydney Road, Muswell Hill, London, N10 2NL",Primary,Good,03 July 2023,101285.0,False
Pardes House Grammar School,/provider/27/101385,"Hendon Lane, Finchley, London, N3 1SA",Independent School,Inadequate,04 July 2023,101385.0,False
Pardes House Primary School,/provider/21/133364,"Hendon Lane, Pardes House Primary School, London, Middlesex, N3 1SA",Primary,Good,25 June 2021,133364.0,True
St Michael's CofE Voluntary Aided Primary School,/provider/21/102135,"North Road, Highgate, London, N6 4BG",Primary,Outstanding,27 September 2023,102135.0,True
Moss Hall Infant School,/provider/21/101295,"Moss Hall Grove, Finchley, London, N12 8PE",Primary,Good,22 January 2024,101295.0,False
Wren Academy Finchley,/provider/28/135507,"Hilton Avenue, North Finchley, London, N12 9HB",Other schools,Outstanding,05 November 2018,135507.0,True
Rhodes Avenue Primary School,/provider/21/102128,"Rhodes Avenue, London, N22 7UT",Primary,Outstanding,11 November 2021,102128.0,False
Lubavitch Yeshiva Ketanah of London,/provider/27/144727,"1117 Finchely Road, London, NW11 0QB",Independent School,Requires Improvement,23 February 2024,144727.0,False
